Lista de Ventas Original
Fecha,Producto,Cantidad,Precio
2024-01-01,Producto A,10,100.0
2024-01-02,Producto B,20,200.0
2024-01-03,Producto A,15,100.0
2024-01-04,Producto C,30,300.0
2024-01-05,Producto B,25,200.0
Ingresos Totales Generados
20500.0
Producto Más Vendido y Su Cantidad Total Vendida
Producto B,45
Precio Promedio de Venta por Producto
Producto,Precio Promedio
Producto A,100.0
Producto B,200.0
Producto C,300.0
Ingresos Totales por Día
Fecha,Ingresos Totales
2024-01-01,1000.0
2024-01-02,4000.0
2024-01-03,1500.0
2024-01-04,9000.0
2024-01-05,5000.0
Resumen de Ventas por Producto
Producto,Cantidad Total,Ingresos Totales,Precio Promedio
Producto A,25,2500.0,100.0
Producto B,45,9000.0,200.0
Producto C,30,9000.0,300.0
